"IdActividad";"Actividad";"Notas Actividad"
0;"Sin datos";"No data"
1;"Baño en reposo";"Bathing at rest"
2;"Buceo profesional";"Professional Scuba"
3;"Buceo recreativo con botella";"recreational Scuba"
4;"Embarcación a motor";"Motor boat"
5;"Embarcación de vela";"Sailing boat"
6;"Actividad cerca del agua";"Activity near water"
7;"Surf-Windsurf-Esqui acuatico-Kyte";"Surf-Waterskiing-Windsurfing-Kyte"
8;"Juegos en el agua";"Playing in the water"
9;"Natación competitiva";"Competitive swimming"
10;"Natación recreativa";"Recreational Swimming"
12;"Paseo en tierra";"Stroller"
13;"Pesca recreativa desde embarcacion";"Recreational fishing from boat"
14;"Pesca desde playa o rocas";"Fishing from the beach or rocks"
15;"Pesca o navegación comercial";"Fishing or commercial navigation"
16;"Transporte acuático";"Aquatic transport"
17;"Transporte no acuático";"No water transport"
18;"Zambullida";"Dive"
19;"Actividad sobre hielo";"Ice activity"
20;"Circulación en vehiculo";"Driving"
21;"Otro";"Other"
22;"Buceo a pulmon";"Freediving"
23;"Piraguismo, Kayac";"Canoeing, Kayaking"
24;"Intento de rescate acuatico";"Water rescue attempt"
25;"Barranquismo";"Canyoning"
26;"Vuelo, parapente";"Flying, paragliding"
27;"Actividad acuatica organizada";"Organized aquatic activity"
