"IdCausa";"Causa";"Observaciones"
0;"Sin datos";"No data"
1;"Condiciones del medio acuático";"Aquatic environment conditions"
2;"Accidente, caída o zambullida accidentales";"Accident, accidental fall or dive"
3;"Falta de competencia acuática";"Lack of aquatic abilities"
4;"Excesiva confianza o asunción de riesgo";"Over self-confidence or risk-taking"
5;"Drogas, alcohol, otros tóxicos";"Drugs, Alcohol"
6;"Falta de supervisión o vigilancia";"Lack of supervision or oversight"
7;"Navegación o deportes acuáticos";"Sailing and water sports"
8;"Suicidio";"Suicide"
9;"Enfermedad, ataque cardíaco o ACVA";"Disease, heart attack or CVA"
10;"Intento de rescate de personas o animales";"Water rescue attempt"
11;"Incidente o accidente de buceo";"Incident or diving accident"
12;"Temporal, riada, desbordamiento, inundacion";"Storm, flooding, overflowing"
13;"Homicidio, Asesinato";"Homicide, murder"
14;"Accidente de Trafico";"Traffic accident"
15;"Otros";"Others"
16;"Naufragio";"Shipwreck"
17;"Corriente de resaca";"Rip Current"
18;"Atrapamiento";"Drain entrapment"
19;"DANA Octubre 2024";"DANA October 2024"
