"IdExtraccion";"Extraccion";"Notas Extraccion"
0;"Sin datos";"No data"
1;"Acompañante, familiar, amigo";"Companion, family member, friend"
2;"Ciudadano";"Lbystander"
3;"Embarcacion costera";"Coastal boat"
4;"Embarcación de recreo";"Recreational Boat"
5;"Embarcación de rescate";"Rescue Boat"
6;"Helicoptero";"Rescue helicopter"
7;"Moto acuática de rescate";"Jet Sky"
8;"Socorrista con material";"Equiped lifeguard"
9;"Socorrista";"Lifeguard"
10;"Tabla de rescate";"Rescue board"
11;"No preciso extraccion";"No removal"
12;"Otros";"Other"
13;"Cuerpo de Seguridad o Emergencias";"Emergency body"
14;"Fuerzas orden publico";"Police"
