"IdFactor";"Factor";"Observaciones"
0;"Sin datos";"No data"
1;"Drogas, Alcohol, tóxicos";"Drugs, Alcohol"
2;"Psicológicos, roles de grupo";"Psicological or group roles"
3;"Navegación, deportes acuáticos";"Sailing, Acquatic sports"
4;"Falta de protección o equipamiento";"Lack of safety equipment"
5;"Peligrosidad del entorno";"Environmental threat"
6;"Violación de normas de seguridad";"Violation of safety rules"
7;"Desconocimiento o falta de información";"Ignorance or lack of information"
8;"Falta de supervisión o vigilancia";"Lack of supervision or oversight"
9;"Edad, Enfermedad, Enfermedad Mental";"Age, illness, mental illness"
10;"Externos al medio acuático";"Not related to the aquatic environment"
11;"Intento de Rescate acuático";"Water rescue attempt"
