"IdLocal";"Localizacion";"Observaciones"
0;"Sin Datos";"No data"
1;"Piscinas publicas con vigilancia";"Public supervised pools"
2;"Piscinas domesticas no vigiladas";"Unsupervised domestic Pools"
3;"Playas con vigilancia";"Guarded Beaches"
4;"Sistemas de recogida, transporte o almacenamiento de agua";"Water Collection, transport or storage systems"
5;"Aguas interiores sin vigilancia";"Inland unattended waters"
6;"Entorno marino";"Sea environment"
7;"Franja costera o alta mar";"Coastal or offshore waters"
8;"Rios, canales y similares";"Rivers, canals, and similars"
9;"Embalses, Pantanos";"Reservoirs"
10;"Parque acuatico";"Waterpark"
11;"Piscinas urbanización o privadas no vigiladas";"Community or club unsupervised pools"
12;"Piscinas de equipamientos hoteleros y similares";"Hotel equipment pools"
13;"Piscinas de urbanizaciones con vigilancia";"Community or club guarded pools"
14;"Playas sin vigilancia";"Unsupervised Beaches"
15;"Puertos, embarcaderos, amarres";"Port, Harbour, jetty"
16;"Aguas interiores con vigilancia";"Inland supervised waters"
17;"Otros";"Other"
18;"Bañera";"Bathtub"
19;"Contenedor de agua, cubo, fuente, etc";"Water Container, bucket, fountain"
