"IdMatRescate";"MatRescate";"NotasMatRescate"
0;"Sin datos";"No data"
1;"Aro salvavidas";"Lifebuoy Ring"
2;"Boya torpedo";"Rescue Can"
3;"Chaleco salvavidas";"Life jacket"
4;"Marpa";"Marpa (©Rescue Tube)"
5;"Material de fortuna";"Alternative Material"
6;"Tabla de rescate";"Rescue Board"
7;"Tablero de inmovilizacion";"Spinal Board"
8;"Tirantes y cuerda rescate";"Straps and rope rescue"
9;"Tubo de rescate";"Rescue Tube"
10;"Equipo de emergencias";"Emergency Team"
11;"Otro";"Other"
12;"Embarcacion/Moto de rescate";"Rescue Boat/Jet Ski"
13;"Dron, Equipo Teledirigido";"Dron, Remote controled device"
