"IdReanima";"Reanimacion";"NotasReanimacion"
0;"Sin datos";"No data"
1;"Sin Reanimacion";"No Resuscitation"
2;"RCP temprana por transeuntes no adiestrados";"Early CPR by untrained bystanders"
3;"RCP basica temprana por transeunte adiestrado";"Early CPR by trained bystanders"
4;"RCP basica por Socorrista no en servicio";"Basic CPR by Lifeguard out of duty"
5;"RCP basica por socorrista en servicio";"Basic CPR by on duty Lifeguard"
6;"RCP basica SOS y SVA por SEM";"Basic CPR by LG and ALS by EMS"
7;"SVB personal emergencias (policia, bomberos, etc.)";"Basic CPR by EMS"
8;"No RCP temprana y SVA por SEM";"No early CPR and ALS by SEM"
9;"SVA por SEM";"ALS by SEM"
10;"Asistencia hospitalaria";"Hospital care"
11;"Recuperacion de cadaver";"Dead body recovery"
