"IdTipo";"TipoAhogamiento";"ObservacionesTipo"
0;"Sin datos";"No data"
1;"Ahogado sin sintomas de aspiración de agua";"Drowing withoug fluid aspiration"
2;"Ahogado con sintomas de aspiración de agua";"Drowning with water aspiration"
3;"Ahogado por hidrocucion";"Hidrocution or cold water shock drowning"
4;"Ahogamiento secundario a accidente";"Drowning as a result of accident"
5;"Ahogamiento secundario a enfermedad";"Drowning as a result of illness"
6;"Posible Ahogamiento";"Possibly drowning"
7;"Muerte previa a inmersion";"Death before immersion"
8;"Perdida de Control";"Loos of Control"
9;"Distres Acuatico";"Aquatic Distress"
10;"Victima sin sintomas de ahogamiento";"Non drowned victim"
11;"Victima con traumatismo";"Traumatic casualty"
